time	V(a)	V(b)	V(out)	I(V1)
1.429155700683591e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.434038513183591e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.438921325683590e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.443804138183590e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.448686950683590e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.453569763183590e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.458452575683590e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.463335388183590e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.468218200683590e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.473101013183590e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.477983825683590e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.482866638183590e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.487749450683590e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.492632263183590e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.497515075683590e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.500000000000000e-08	5.000000e+00	0.000000e+00	2.002632e-07	-2.002632e-11
1.500061035156250e-08	4.969482e+00	0.000000e+00	9.390567e-05	-9.333164e-09
1.500183105468750e-08	4.908447e+00	0.000000e+00	8.540664e-04	-8.383878e-08
1.500427246093750e-08	4.786377e+00	0.000000e+00	4.769135e-03	-4.563674e-07
1.500915527343750e-08	4.542236e+00	0.000000e+00	2.311341e-02	-2.095494e-06
1.501892089843750e-08	4.053955e+00	0.000000e+00	1.119316e-01	-8.950027e-06
1.503845214843750e-08	3.077393e+00	0.000000e+00	6.743480e-01	-3.696421e-05
1.507751464843750e-08	1.124268e+00	0.000000e+00	4.700791e+00	-1.263979e-05
1.510000000000000e-08	0.000000e+00	0.000000e+00	5.000916e+00	-2.002000e-11
1.510488281250000e-08	0.000000e+00	0.000000e+00	5.002100e+00	-2.002000e-11
1.511464843750000e-08	0.000000e+00	0.000000e+00	5.000001e+00	-2.002000e-11
1.513417968750000e-08	0.000000e+00	0.000000e+00	5.000001e+00	-2.002000e-11
1.517324218750000e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.522207031250000e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.527089843750000e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.531972656250000e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.536855468750001e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.541738281250001e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.546621093750001e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.551503906250001e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.556386718750001e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.561269531250001e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.566152343750001e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.571035156250001e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.575917968750002e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.580800781250002e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.585683593750002e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.590566406250002e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.595449218750002e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.600332031250002e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.605214843750002e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.610097656250002e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.614980468750003e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.619863281250003e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.624746093750003e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.629628906250003e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.634511718750003e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.639394531250003e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.644277343750003e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.649160156250003e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.654042968750003e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.658925781250004e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.663808593750004e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.668691406250004e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.673574218750004e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.678457031250004e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.683339843750004e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.688222656250004e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.693105468750004e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.697988281250005e-08	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
