Vin	V(vin)	V(vout)
2.940000000000000e+00	2.940000e+00	1.964248e-01
2.950000000000000e+00	2.950000e+00	1.925007e-01
2.960000000000000e+00	2.960000e+00	1.886425e-01
2.970000000000000e+00	2.970000e+00	1.848489e-01
2.980000000000000e+00	2.980000e+00	1.811187e-01
2.990000000000000e+00	2.990000e+00	1.774507e-01
3.000000000000000e+00	3.000000e+00	1.738438e-01
3.010000000000000e+00	3.010000e+00	1.702968e-01
3.020000000000000e+00	3.020000e+00	1.668086e-01
3.030000000000000e+00	3.030000e+00	1.633781e-01
3.040000000000000e+00	3.040000e+00	1.600043e-01
3.050000000000000e+00	3.050000e+00	1.566863e-01
3.060000000000000e+00	3.060000e+00	1.534230e-01
3.070000000000000e+00	3.070000e+00	1.502134e-01
3.080000000000000e+00	3.080000e+00	1.470567e-01
3.090000000000000e+00	3.090000e+00	1.439520e-01
3.100000000000000e+00	3.100000e+00	1.408983e-01
3.110000000000000e+00	3.110000e+00	1.378948e-01
3.120000000000000e+00	3.120000e+00	1.349408e-01
3.130000000000000e+00	3.130000e+00	1.320352e-01
3.140000000000000e+00	3.140000e+00	1.291775e-01
3.150000000000000e+00	3.150000e+00	1.263668e-01
3.160000000000000e+00	3.160000e+00	1.236023e-01
3.170000000000000e+00	3.170000e+00	1.208834e-01
3.180000000000000e+00	3.180000e+00	1.182093e-01
3.190000000000000e+00	3.190000e+00	1.155793e-01
3.200000000000000e+00	3.200000e+00	1.129927e-01
3.210000000000000e+00	3.210000e+00	1.104489e-01
3.220000000000000e+00	3.220000e+00	1.079472e-01
3.230000000000000e+00	3.230000e+00	1.054870e-01
